,Unnamed: 0,left,right,comp
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1041/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/942/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1950/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1675/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/90/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1670/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1088/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1942/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/585/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1705/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/489/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1896/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1966/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1356/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1726/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1438/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1178/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/880/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/17/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1735/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/68/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/652/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/988/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1940/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1440/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/970/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/390/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/668/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1290/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/656/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/895/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/543/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/300/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1400/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1103/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1241/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/704/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1623/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1737/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1539/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1683/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/240/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1144/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/213/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1951/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1322/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/608/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/480/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/634/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1346/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/498/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1020/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1583/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/756/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1513/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1339/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1347/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/393/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1122/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1205/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1226/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/880/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/911/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/936/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1410/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1711/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1905/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1845/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1475/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1642/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1654/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/99/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/812/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1312/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1942/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1299/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1221/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1172/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/948/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1778/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/174/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/810/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1563/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/903/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/854/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1901/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/526/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/88/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1615/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1136/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/24/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1445/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/124/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1188/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1989/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1294/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1387/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/334/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/624/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/371/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1265/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/165/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1214/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1356/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1719/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1926/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/130/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/301/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1277/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1931/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1176/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1368/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1019/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/926/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1155/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/137/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/762/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1871/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/462/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1329/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1367/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/121/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/212/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/98/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1115/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/700/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/116/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1758/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1328/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/192/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/315/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/796/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1137/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/605/,1
